date,logret
2016-03-16,0.005842
2016-03-17,-0.002917
2016-03-18,-0.000974
2016-03-21,0.003891
2016-03-22,0.000971
2016-03-23,0.000000
2016-03-24,0.002906
2016-03-28,0.002897
2016-03-29,0.000964
2016-03-30,-0.001929
2016-03-31,0.000965
2016-04-01,-0.000964
2016-04-04,0.000965
2016-04-05,-0.000964
2016-04-06,0.000965
2016-04-07,0.000000
2016-04-08,0.002889
2016-04-11,0.000962
2016-04-12,0.000000
2016-04-13,-0.003849
2016-04-14,0.000000
2016-04-15,0.001927
2016-04-18,0.000000
2016-04-19,-0.002891
2016-04-20,-0.001933
2016-04-21,0.000967
2016-04-22,0.004819
2016-04-25,0.000000
2016-04-26,0.000962
2016-04-27,0.000961
2016-04-28,-0.001921
2016-04-29,0.000962
2016-05-02,0.004792
2016-05-03,0.000956
2016-05-04,0.001908
2016-05-05,0.002856
2016-05-06,0.002848
2016-05-09,0.002840
2016-05-10,-0.002840
2016-05-11,0.001894
2016-05-12,0.002834
2016-05-13,0.000943
2016-05-16,0.000943
2016-05-17,0.000000
2016-05-18,0.000942
2016-05-19,0.000000
2016-05-20,0.003756
2016-05-23,0.003742
2016-05-24,-0.001869
2016-05-25,-0.002810
2016-05-26,0.002810
2016-05-27,0.000000
2016-05-31,0.000935
2016-06-01,0.000935
2016-06-02,0.001865
2016-06-03,0.003721
2016-06-06,-0.001859
2016-06-07,-0.002795
2016-06-08,-0.001868
2016-06-09,0.000000
2016-06-10,-0.001871
2016-06-13,-0.011300
2016-06-14,0.005666
2016-06-15,0.003759
2016-06-16,0.000938
2016-06-17,0.005607
2016-06-20,0.000932
2016-06-21,-0.000931
2016-06-22,-0.012190
2016-06-23,0.007519
2016-06-24,-0.023686
2016-06-27,0.020874
2016-06-28,0.007484
2016-06-29,-0.009364
2016-06-30,-0.007554
2016-07-01,0.002840
2016-07-05,0.006594
2016-07-06,0.000000
2016-07-07,0.003749
2016-07-08,-0.009399
2016-07-11,-0.007583
2016-07-12,-0.015341
2016-07-13,0.006740
2016-07-14,-0.008675
2016-07-15,0.005791
2016-07-18,0.005758
2016-07-19,0.005726
2016-07-20,-0.001905
2016-07-21,0.000000
2016-07-22,0.001905
2016-07-25,0.003799
2016-07-26,0.000948
2016-07-27,0.004724
2016-07-28,0.001883
2016-07-29,0.003756
2016-08-01,0.004675
2016-08-02,0.000933
2016-08-03,0.001862
2016-08-04,0.001858
2016-08-05,-0.001859
2016-08-08,0.002787
2016-08-09,-0.000928
2016-08-10,0.000929
2016-08-11,-0.000928
2016-08-12,0.002782
2016-08-15,0.000000
2016-08-16,0.000000
2016-08-17,0.004619
2016-08-18,0.002761
2016-08-19,0.001836
2016-08-22,0.000917
2016-08-23,-0.000917
2016-08-24,0.000917
2016-08-25,0.000917
2016-08-26,0.000916
2016-08-29,0.001828
2016-08-30,0.001824
2016-08-31,0.000912
2016-09-01,0.001819
2016-09-02,0.001816
2016-09-06,0.000000
2016-09-07,0.000907
2016-09-08,0.000000
2016-09-09,-0.005455
2016-09-12,0.004548
2016-09-13,-0.000907
2016-09-14,0.001815
2016-09-15,0.000907
2016-09-16,0.007220
2016-09-19,0.001797
2016-09-20,0.000898
2016-09-21,0.000000
2016-09-22,-0.001796
2016-09-23,0.003588
2016-09-26,0.002682
2016-09-27,0.000000
2016-09-28,-0.000893
2016-09-29,0.000894
2016-09-30,-0.001788
2016-10-03,0.005353
2016-10-04,0.003553
2016-10-05,-0.000887
2016-10-06,0.000000
2016-10-07,0.001773
2016-10-10,-0.000886
2016-10-11,0.001771
2016-10-12,0.000885
2016-10-13,-0.000884
2016-10-14,0.000885
2016-10-17,0.002649
2016-10-18,0.000000
2016-10-19,0.000000
2016-10-20,0.001762
2016-10-21,0.001759
2016-10-24,-0.000879
2016-10-25,0.000880
2016-10-26,0.000000
2016-10-27,0.000000
2016-10-28,-0.002639
2016-10-31,0.000000
2016-11-01,-0.000881
2016-11-02,0.000882
2016-11-03,-0.001764
2016-11-04,-0.000883
2016-11-07,0.000000
2016-11-08,-0.000883
2016-11-09,0.000884
2016-11-10,-0.003540
2016-11-11,0.004423
2016-11-14,0.000883
2016-11-15,-0.002650
2016-11-16,0.002649
2016-11-17,-0.000882
2016-11-18,0.003524
2016-11-21,-0.000880
2016-11-22,-0.001763
2016-11-23,0.000000
2016-11-25,-0.001766
2016-11-28,0.001765
2016-11-29,0.001762
2016-11-30,0.000000
2016-12-01,-0.000880
2016-12-02,0.000000
2016-12-05,0.006280
2016-12-06,0.000962
2016-12-07,-0.010623
2016-12-08,-0.005842
2016-12-09,0.000977
2016-12-12,0.000976
2016-12-13,-0.009795
2016-12-14,0.002949
2016-12-15,0.001961
2016-12-16,0.003910
2016-12-19,0.002923
2016-12-20,0.001944
2016-12-21,0.001940
2016-12-22,0.000969
2016-12-23,0.000968
2016-12-27,0.001932
2016-12-28,-0.000965
2016-12-29,0.000000
2016-12-30,-0.001934
2017-01-03,0.006753
2017-01-04,0.000962
2017-01-05,0.000000
2017-01-06,0.000000
2017-01-09,0.001919
2017-01-10,0.000000
2017-01-11,0.000000
2017-01-12,0.000959
2017-01-13,-0.000958
2017-01-17,0.000959
2017-01-18,-0.001918
2017-01-19,0.000960
2017-01-20,0.001916
2017-01-23,0.001912
2017-01-24,0.000000
2017-01-25,-0.002869
2017-01-26,0.000958
2017-01-27,0.000957
2017-01-30,0.000956
2017-01-31,0.000000
2017-02-01,0.000955
2017-02-02,0.000000
2017-02-03,0.000000
2017-02-06,0.000954
2017-02-07,0.000953
2017-02-08,-0.000952
2017-02-09,-0.000953
2017-02-10,-0.000954
2017-02-13,0.000000
2017-02-14,-0.000955
2017-02-15,-0.008641
2017-02-16,0.003850
2017-02-17,0.001919
2017-02-21,-0.002880
2017-02-22,0.000962
2017-02-23,0.000961
2017-02-24,0.000000
2017-02-27,-0.000960
2017-02-28,-0.000961
2017-03-01,-0.009662
2017-03-02,0.006773
2017-03-03,0.003850
2017-03-06,0.002878
2017-03-07,0.000958
2017-03-08,-0.000957
2017-03-09,0.000000
2017-03-10,0.002870
2017-03-13,0.001908
2017-03-14,-0.001909
2017-03-15,-0.001912
2017-03-16,0.002867
2017-03-17,0.000000
2017-03-20,0.003810
2017-03-21,0.000000
2017-03-22,0.000951
2017-03-23,-0.000950
2017-03-24,0.000951
2017-03-27,0.006626
2017-03-28,-0.000943
2017-03-29,-0.000944
2017-03-30,-0.000945
2017-03-31,0.000000
2017-04-03,0.003777
2017-04-04,0.001883
2017-04-05,0.000000
2017-04-06,0.001879
2017-04-07,-0.000939
2017-04-10,0.000000
2017-04-11,-0.001882
2017-04-12,0.002821
2017-04-13,0.002813
2017-04-17,0.000000
2017-04-18,0.003738
2017-04-19,-0.000933
2017-04-20,-0.004680
2017-04-21,0.002810
2017-04-24,0.002802
2017-04-25,-0.007491
2017-04-26,0.000940
2017-04-27,0.001876
2017-04-28,0.000000
2017-05-01,0.002808
2017-05-02,-0.000935
2017-05-03,0.000000
2017-05-04,0.000935
2017-05-05,-0.003745
2017-05-08,0.006546
2017-05-09,0.000000
2017-05-10,-0.001866
2017-05-11,0.001865
2017-05-12,0.002792
2017-05-15,0.000929
2017-05-16,0.000929
2017-05-17,-0.009319
2017-05-18,0.002805
2017-05-19,0.003728
2017-05-22,0.002787
2017-05-23,0.000000
2017-05-24,0.000928
2017-05-25,-0.005577
2017-05-26,0.001862
2017-05-30,0.001858
2017-05-31,-0.000929
2017-06-01,-0.002792
2017-06-02,-0.004671
2017-06-05,0.001871
2017-06-06,0.000000
2017-06-07,0.000935
2017-06-08,0.001865
2017-06-09,0.000000
2017-06-12,0.000932
2017-06-13,0.002789
2017-06-14,0.000929
2017-06-15,-0.000928
2017-06-16,0.003707
2017-06-19,-0.004636
2017-06-20,0.003710
2017-06-21,0.001850
2017-06-22,0.001846
2017-06-23,0.000923
2017-06-26,0.001841
2017-06-27,0.000920
2017-06-28,-0.001840
2017-06-29,0.000921
2017-06-30,0.000920
2017-07-03,0.000000
2017-07-05,0.000919
2017-07-06,0.001835
2017-07-07,0.000917
2017-07-10,0.000916
2017-07-11,0.001828
2017-07-12,-0.001828
2017-07-13,-0.000915
2017-07-14,-0.001834
2017-07-17,0.000917
2017-07-18,0.000917
2017-07-19,-0.002751
2017-07-20,0.000000
2017-07-21,0.002751
2017-07-24,0.001830
2017-07-25,-0.001830
2017-07-26,0.000916
2017-07-27,-0.000915
2017-07-28,0.000916
